symbol,open,close,high,low,volume,changePercent,date,companyName,sector
CNP,24.72,24.49,24.78,24.35,6156711,-0.0125,2019-11-26,Centerpoint Energy Inc.,Utilities
CNP,24.41,24.67,24.67,24.3,3089166,0.0073,2019-11-27,Centerpoint Energy Inc.,Utilities
CNP,24.68,24.56,24.85,24.52,2116055,-0.0045,2019-11-29,Centerpoint Energy Inc.,Utilities
CNP,24.54,24.39,24.7111,24.36,3394992,-0.0069,2019-12-02,Centerpoint Energy Inc.,Utilities
CNP,24.36,24.4,24.575,24.27,4168163,0.0004,2019-12-03,Centerpoint Energy Inc.,Utilities
CNP,24.28,24.72,24.82,24.28,4275937,0.0131,2019-12-04,Centerpoint Energy Inc.,Utilities
CNP,24.67,24.79,24.85,24.62,3638056,0.0028,2019-12-05,Centerpoint Energy Inc.,Utilities
CNP,24.75,25.02,25.13,24.7,4806550,0.0093,2019-12-06,Centerpoint Energy Inc.,Utilities
CNP,25.05,25.04,25.16,24.82,3790045,0.0008,2019-12-09,Centerpoint Energy Inc.,Utilities
CNP,25.06,24.96,25.16,24.86,4253343,-0.0032,2019-12-10,Centerpoint Energy Inc.,Utilities
CNP,24.9,25.11,25.21,24.89,4811613,0.006,2019-12-11,Centerpoint Energy Inc.,Utilities
CNP,25.06,24.82,25.33,24.665,6812020,-0.0115,2019-12-12,Centerpoint Energy Inc.,Utilities
CNP,24.77,25.94,26.01,24.77,13385377,0.0451,2019-12-13,Centerpoint Energy Inc.,Utilities
CNP,25.92,26.35,26.37,25.92,7094586,0.0158,2019-12-16,Centerpoint Energy Inc.,Utilities
CNP,26.3,26.41,26.83,26.2588,10974220,0.0023,2019-12-17,Centerpoint Energy Inc.,Utilities
CNP,26.47,26.85,26.95,26.45,6808625,0.0167,2019-12-18,Centerpoint Energy Inc.,Utilities
CNP,26.74,26.78,26.99,26.59,8020514,-0.0026,2019-12-19,Centerpoint Energy Inc.,Utilities
CNP,27.13,26.73,27.25,26.61,15120427,-0.0019,2019-12-20,Centerpoint Energy Inc.,Utilities
CNP,26.78,26.73,26.97,26.455,4651687,0.0,2019-12-23,Centerpoint Energy Inc.,Utilities
CNP,26.78,26.76,26.95,26.74,1963732,0.0011,2019-12-24,Centerpoint Energy Inc.,Utilities
CNP,26.83,26.91,27.03,26.81,1994281,0.0056,2019-12-26,Centerpoint Energy Inc.,Utilities
CNP,26.9,26.91,26.985,26.8,3099692,0.0,2019-12-27,Centerpoint Energy Inc.,Utilities
CNP,26.83,26.91,26.94,26.62,3557284,0.0,2019-12-30,Centerpoint Energy Inc.,Utilities
CNP,26.91,27.27,27.28,26.875,3443195,0.0134,2019-12-31,Centerpoint Energy Inc.,Utilities
CDAY,49.54,49.33,50.23,49.17,630129,0.0,2019-10-01,Ceridian HCM Holding Inc.,"Professional, Scientific, and Technical Services"
CDAY,49.03,47.63,49.03,47.01,1473987,-0.0345,2019-10-02,Ceridian HCM Holding Inc.,"Professional, Scientific, and Technical Services"
CDAY,47.35,47.7,47.795,46.215,919177,0.0015,2019-10-03,Ceridian HCM Holding Inc.,"Professional, Scientific, and Technical Services"
CDAY,48.17,48.3,48.77,47.74,683657,0.0126,2019-10-04,Ceridian HCM Holding Inc.,"Professional, Scientific, and Technical Services"
CDAY,48.17,49.16,49.57,48.17,820539,0.0178,2019-10-07,Ceridian HCM Holding Inc.,"Professional, Scientific, and Technical Services"
CDAY,48.77,48.26,49.495,47.83,904592,-0.0183,2019-10-08,Ceridian HCM Holding Inc.,"Professional, Scientific, and Technical Services"
CDAY,48.76,49.08,49.77,48.5,302939,0.017,2019-10-09,Ceridian HCM Holding Inc.,"Professional, Scientific, and Technical Services"
CDAY,48.88,48.83,49.52,48.48,359393,-0.0051,2019-10-10,Ceridian HCM Holding Inc.,"Professional, Scientific, and Technical Services"
CDAY,49.59,49.42,49.95,49.19,574662,0.0121,2019-10-11,Ceridian HCM Holding Inc.,"Professional, Scientific, and Technical Services"
